"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 24, 2017","282.00000","285.89999","294.54001","275.41000","196.56K","-1.36"
"Sep 23, 2017","285.89999","262.19000","287.20001","259.01001","162.98K","9.04"
"Sep 22, 2017","262.19000","256.67001","269.50000","253.03000","183.77K","2.15"
"Sep 21, 2017","256.67001","283.50000","287.53000","251.52000","292.98K","-9.46"
"Sep 20, 2017","283.50000","282.63000","294.00000","277.00000","146.38K","0.31"
"Sep 19, 2017","282.63000","296.81000","299.00000","275.00000","268.88K","-4.78"
"Sep 18, 2017","296.81000","257.00000","299.89001","257.00000","378.67K","15.49"
"Sep 17, 2017","257.00000","253.00000","263.69000","239.00000","195.92K","1.58"
"Sep 16, 2017","253.00000","258.67999","270.00000","242.20000","308.48K","-2.20"
"Sep 15, 2017","258.67999","222.50000","269.00000","198.00000","954.56K","16.26"
"Sep 14, 2017","222.50000","275.48001","281.01001","221.71001","642.98K","-19.23"
"Sep 13, 2017","275.48001","293.89999","294.16000","256.00000","449.34K","-6.27"
"Sep 12, 2017","293.89999","297.19000","316.73001","283.00000","261.52K","-1.11"
"Sep 11, 2017","297.19000","297.89999","308.00000","287.32999","174.01K","-0.24"
"Sep 10, 2017","297.89999","303.07999","305.00000","276.10999","254.70K","-1.71"
"Sep 09, 2017","303.07999","304.00000","307.07999","291.45999","169.79K","-0.30"
"Sep 08, 2017","304.00000","334.10001","334.57999","291.00000","309.62K","-9.01"
"Sep 07, 2017","334.10001","337.35999","338.66000","321.10001","166.57K","-0.97"
"Sep 06, 2017","337.35999","316.17999","339.50000","314.81000","230.11K","6.70"
"Sep 05, 2017","316.17999","295.81000","323.17001","267.64001","381.67K","6.89"
"Sep 04, 2017","295.81000","350.63000","351.59000","275.00000","569.73K","-15.63"
"Sep 03, 2017","350.63000","345.00000","368.39999","328.32999","212.17K","1.63"
"Sep 02, 2017","345.00000","390.35001","390.76999","325.10001","308.36K","-11.62"
"Sep 01, 2017","390.35001","387.29999","395.03000","383.60001","131.80K","0.79"
"Aug 31, 2017","387.29999","382.78000","390.00000","380.10001","98.59K","1.18"
"Aug 30, 2017","382.78000","372.00000","390.10001","365.10001","188.64K","2.90"
"Aug 29, 2017","372.00000","347.09000","375.98001","346.42001","180.48K","7.18"
"Aug 28, 2017","347.09000","348.01001","352.00000","332.73999","111.21K","-0.26"
"Aug 27, 2017","348.01001","332.72000","348.01001","331.88000","103.44K","4.60"
"Aug 26, 2017","332.72000","328.70001","334.60001","324.50000","90.18K","1.22"
"Aug 25, 2017","328.70001","325.62000","338.25000","324.04001","108.00K","0.95"
"Aug 24, 2017","325.62000","316.50000","329.56000","314.14001","93.42K","2.88"
"Aug 23, 2017","316.50000","312.54001","325.00000","311.64999","115.09K","1.27"
"Aug 22, 2017","312.54001","322.23999","329.95999","285.01001","244.94K","-3.01"
"Aug 21, 2017","322.23999","298.37000","346.98999","294.53000","329.81K","8.00"
"Aug 20, 2017","298.37000","292.78000","299.00000","286.95999","86.96K","1.91"
"Aug 19, 2017","292.78000","292.00000","298.51001","280.00000","158.37K","0.27"
"Aug 18, 2017","292.00000","299.00000","307.00000","286.00000","165.16K","-2.34"
"Aug 17, 2017","299.00000","301.34000","312.00000","297.01001","133.09K","-0.78"
"Aug 16, 2017","301.34000","286.00000","304.00000","279.94000","150.43K","5.36"
"Aug 15, 2017","286.00000","298.22000","299.91000","272.29001","179.77K","-4.10"
"Aug 14, 2017","298.22000","296.64001","306.48001","293.98999","106.08K","0.53"
"Aug 13, 2017","296.64001","307.22000","308.00000","285.20999","166.56K","-3.44"
"Aug 12, 2017","307.22000","308.81000","319.78000","299.00000","160.55K","-0.51"
"Aug 11, 2017","308.81000","295.97000","310.42001","294.00000","130.15K","4.34"
"Aug 10, 2017","295.97000","293.98999","310.04999","287.60001","155.41K","0.67"
"Aug 09, 2017","293.98999","295.82999","316.00000","277.00000","400.20K","-0.62"
"Aug 08, 2017","295.82999","269.51001","299.50000","265.00000","207.56K","9.77"
"Aug 07, 2017","269.51001","264.29001","274.60001","257.32001","146.17K","1.98"
"Aug 06, 2017","264.29001","253.87000","271.50000","251.00000","209.86K","4.10"
"Aug 05, 2017","253.87000","220.73000","259.89999","219.23000","234.87K","15.01"
"Aug 04, 2017","220.73000","224.78999","228.30000","218.66000","83.46K","-1.81"
"Aug 03, 2017","224.78999","218.00000","228.20000","217.07001","96.19K","3.11"
"Aug 02, 2017","218.00000","225.97000","229.70000","215.00000","159.47K","-3.53"
"Aug 01, 2017","225.97000","200.81000","232.59000","200.80000","352.31K","12.53"
"Jul 31, 2017","200.81000","195.31000","201.50000","188.12000","126.90K","2.82"
"Jul 30, 2017","195.31000","206.75999","210.75999","192.21001","149.31K","-5.54"
"Jul 29, 2017","206.75999","191.20000","213.00000","176.95000","247.44K","8.14"
"Jul 28, 2017","191.20000","202.53999","204.19000","188.10001","141.11K","-5.60"
"Jul 27, 2017","202.53999","203.33000","207.00000","197.86000","117.42K","-0.39"
"Jul 26, 2017","203.33000","202.70000","209.59000","191.75999","195.90K","0.31"
"Jul 25, 2017","202.70000","226.59000","227.69000","190.49001","309.49K","-10.54"
"Jul 24, 2017","226.59000","228.14999","232.56000","223.64000","101.65K","-0.68"
"Jul 23, 2017","228.14999","232.00999","236.57001","219.00000","117.35K","-1.66"
"Jul 22, 2017","232.00999","216.11000","237.19000","214.35001","158.92K","7.36"
"Jul 21, 2017","216.11000","227.28999","239.00000","208.00000","243.96K","-4.92"
"Jul 20, 2017","227.28999","194.63000","238.00000","194.63000","603.45K","16.78"
"Jul 19, 2017","194.63000","226.56000","245.61000","187.00000","664.41K","-14.09"
"Jul 18, 2017","226.56000","190.16000","258.00000","177.50000","718.93K","19.14"
"Jul 17, 2017","190.16000","157.39999","190.61000","155.00000","414.02K","20.81"
"Jul 16, 2017","157.39999","170.14999","172.70000","136.12000","602.49K","-7.49"
"Jul 15, 2017","170.14999","196.49001","197.80000","169.82001","198.43K","-13.41"
"Jul 14, 2017","196.49001","205.00000","207.75999","179.58000","277.64K","-4.15"
"Jul 13, 2017","205.00000","223.92000","224.99001","189.46001","240.85K","-8.45"
"Jul 12, 2017","223.92000","188.63000","225.00000","177.78000","311.08K","18.71"
"Jul 11, 2017","188.63000","202.00000","215.00000","169.00000","446.12K","-6.62"
"Jul 10, 2017","202.00000","234.97000","238.00999","187.50000","287.53K","-14.03"
"Jul 09, 2017","234.97000","245.23000","249.00000","234.14999","57.56K","-4.18"
"Jul 08, 2017","245.23000","238.38000","246.66000","226.67999","104.33K","2.87"
"Jul 07, 2017","238.38000","265.35001","265.79999","233.84000","141.86K","-10.16"
"Jul 06, 2017","265.35001","264.76999","273.00000","258.37000","68.69K","0.22"
"Jul 05, 2017","264.76999","266.67999","272.12000","249.53000","124.79K","-0.72"
"Jul 04, 2017","266.67999","273.98999","283.00000","260.00000","121.43K","-2.67"
"Jul 03, 2017","273.98999","277.64001","283.98001","266.45001","96.10K","-1.31"
"Jul 02, 2017","277.64001","255.00000","285.91000","242.81000","139.58K","8.88"
"Jul 01, 2017","255.00000","275.62000","277.63000","238.00000","204.66K","-7.48"
"Jun 30, 2017","275.62000","285.29999","301.89999","267.35001","110.51K","-3.39"
"Jun 29, 2017","285.29999","311.62000","318.26999","276.00000","177.17K","-8.45"
"Jun 28, 2017","311.62000","279.00000","318.26999","255.00000","260.10K","11.69"
"Jun 27, 2017","279.00000","251.30000","279.00000","204.11000","312.09K","11.02"
"Jun 26, 2017","251.30000","277.00000","286.85001","214.99001","388.66K","-9.28"
"Jun 25, 2017","277.00000","296.89001","306.39001","253.20000","145.30K","-6.70"
"Jun 24, 2017","296.89001","324.37000","327.54999","291.53000","55.85K","-8.47"
"Jun 23, 2017","324.37000","320.94000","329.89999","316.35999","30.17K","1.07"
"Jun 22, 2017","320.94000","321.66000","328.98999","305.00000","100.52K","-0.22"
"Jun 21, 2017","321.66000","344.14999","348.50000","287.10999","183.66K","-6.53"
"Jun 20, 2017","344.14999","355.50000","366.51999","328.00000","97.91K","-3.19"
"Jun 19, 2017","355.50000","348.88000","362.50000","344.13000","49.84K","1.90"
"Jun 18, 2017","348.88000","364.56000","377.45999","336.89001","80.92K","-4.30"
